Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,26.671875,26.687500,25.937500,25.968750,15.833198,140500
2000-01-04,26.000000,26.046875,25.609375,25.718750,15.680765,258000
2000-01-05,26.015625,26.812500,25.750000,26.781250,16.328581,102700
2000-01-06,26.796875,27.734375,26.781250,27.468750,16.747753,1335000
2000-01-07,27.750000,27.937500,27.453125,27.453125,16.738230,620100
2000-01-10,27.703125,27.703125,27.140625,27.359375,16.681067,171200
2000-01-11,27.140625,27.250000,26.828125,27.031250,16.480999,39700
2000-01-12,26.609375,27.031250,26.609375,26.640625,16.242836,135300
2000-01-13,26.890625,26.968750,26.625000,26.750000,16.309525,45900
2000-01-14,26.515625,26.718750,26.437500,26.562500,16.195208,76000
2000-01-18,26.218750,26.312500,25.687500,25.921875,15.804605,34400
2000-01-19,25.781250,25.953125,25.421875,25.421875,15.499764,125700
2000-01-20,25.687500,25.687500,24.750000,24.750000,15.090117,99400
2000-01-21,25.125000,25.125000,24.562500,24.859375,15.156806,180100
2000-01-24,24.765625,24.765625,23.859375,24.203125,14.756685,190900
2000-01-25,24.109375,24.250000,23.390625,23.750000,14.480419,63400
2000-01-26,23.968750,24.390625,23.750000,23.750000,14.480419,300700
2000-01-27,24.000000,24.171875,23.750000,23.875000,14.556634,54300
2000-01-28,23.843750,23.859375,22.843750,23.468750,14.308941,29400
2000-01-31,23.250000,23.375000,23.109375,23.328125,14.223205,16300
2000-02-01,23.328125,23.875000,23.328125,23.750000,14.480419,42700
2000-02-02,23.875000,23.875000,23.562500,23.859375,14.547106,49000
2000-02-03,23.984375,23.984375,23.312500,23.453125,14.299413,183800
2000-02-04,23.609375,23.609375,23.281250,23.421875,14.280360,105000
2000-02-07,23.546875,23.546875,22.953125,22.968750,14.004090,49100
2000-02-08,23.000000,23.281250,22.750000,22.906250,13.965982,134700
2000-02-09,22.890625,23.015625,22.453125,22.453125,13.689714,33500
2000-02-10,22.500000,22.500000,22.093750,22.265625,13.575397,131100
2000-02-11,22.203125,22.437500,21.468750,21.718750,13.241965,24300
2000-02-14,22.000000,22.250000,21.640625,22.078125,13.461080,24100
2000-02-15,22.156250,23.031250,22.015625,23.031250,14.042197,32600
2000-02-16,23.000000,23.062500,22.453125,22.500000,13.718295,17400
2000-02-17,22.750000,22.968750,22.390625,22.453125,13.689714,45700
2000-02-18,22.578125,22.578125,21.718750,21.765625,13.270545,90500
2000-02-22,22.125000,22.625000,21.828125,22.453125,13.689714,48900
2000-02-23,22.468750,22.546875,22.015625,22.203125,13.537285,56300
2000-02-24,21.968750,21.968750,21.125000,21.406250,13.051429,18800
2000-02-25,21.468750,21.468750,21.000000,21.062500,12.841841,24900
2000-02-28,21.000000,21.531250,20.828125,21.125000,12.879951,199600
2000-02-29,21.203125,21.296875,20.765625,20.984375,12.794219,29100
2000-03-01,21.234375,21.234375,20.578125,20.765625,12.660847,119700
2000-03-02,20.750000,20.750000,20.156250,20.312500,12.384570,184000
2000-03-03,20.500000,21.531250,20.500000,20.968750,12.784686,162400
2000-03-06,21.156250,21.156250,20.250000,20.468750,12.479836,20900
2000-03-07,20.578125,20.593750,19.750000,19.812500,12.079720,198400
2000-03-08,19.812500,20.296875,19.687500,20.234375,12.336935,112600
2000-03-09,19.890625,20.250000,19.828125,20.203125,12.317880,112400
2000-03-10,20.187500,20.734375,20.187500,20.375000,12.422675,27700
2000-03-13,20.000000,20.734375,19.968750,20.687500,12.613208,47000
2000-03-14,20.859375,20.859375,20.156250,20.328125,12.394095,16400
2000-03-15,20.171875,22.500000,20.171875,21.546875,13.137176,444600
2000-03-16,21.625000,22.937500,21.625000,22.812500,13.908827,233900
2000-03-17,22.859375,22.859375,22.000000,22.000000,13.445276,65200
2000-03-20,22.312500,22.687500,22.156250,22.265625,13.607607,27500
2000-03-21,22.203125,22.750000,22.125000,22.531250,13.769934,44900
2000-03-22,22.328125,22.453125,21.843750,21.953125,13.416620,120400
2000-03-23,22.078125,22.734375,21.968750,22.625000,13.827237,31700
2000-03-24,22.609375,22.765625,22.453125,22.515625,13.760395,12000
2000-03-27,22.640625,22.812500,22.187500,22.421875,13.703096,39900
2000-03-28,22.156250,22.562500,21.937500,22.000000,13.445276,114000
2000-03-29,22.125000,22.453125,21.953125,22.453125,13.722195,27500
2000-03-30,22.515625,23.296875,22.375000,23.062500,14.094615,103600
2000-03-31,23.140625,23.484375,22.937500,23.046875,14.085060,152600
2000-04-03,23.437500,23.796875,23.375000,23.796875,14.543422,114700
2000-04-04,24.156250,24.531250,23.156250,23.578125,14.409737,185500
2000-04-05,23.859375,23.968750,23.250000,23.390625,14.295146,32500
2000-04-06,23.359375,23.734375,23.234375,23.250000,14.209205,22600
2000-04-07,23.500000,23.500000,22.875000,22.875000,13.980024,43700
2000-04-10,23.187500,23.750000,22.953125,23.437500,14.323797,42600
2000-04-11,23.812500,24.390625,23.750000,24.000000,14.667563,393100
2000-04-12,24.062500,25.156250,24.062500,24.625000,15.049537,240800
2000-04-13,24.125000,24.375000,23.921875,23.937500,14.629369,613200
2000-04-14,23.375000,23.625000,22.375000,22.625000,13.827237,145200
2000-04-17,22.968750,22.968750,22.375000,22.656250,13.846334,52800
2000-04-18,22.531250,22.703125,22.000000,22.234375,13.588509,24000
