Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,19.267872,19.267872,18.455524,18.582453,12.000941,1185699
2000-01-04,18.176279,18.201666,17.605097,17.770105,11.476307,885705
2000-01-05,17.770105,17.960501,17.440088,17.630484,11.386141,717181
2000-01-06,17.681255,18.518990,17.681255,18.404753,11.886181,415832
2000-01-07,18.531681,18.734768,18.277822,18.709383,12.082913,468149
2000-01-10,18.861698,18.861698,18.328594,18.379366,11.869790,460640
2000-01-11,18.201666,18.442831,18.074736,18.074736,11.673053,476151
2000-01-12,18.214357,18.531681,18.214357,18.430138,11.902576,143288
2000-01-13,18.760155,19.077478,18.658611,18.988626,12.263259,1104576
2000-01-14,19.217100,19.559809,19.204407,19.432880,12.550166,731583
2000-01-18,19.369415,19.369415,18.785540,18.785540,12.132097,466180
2000-01-19,18.798233,19.166328,18.683996,18.722076,12.091117,339510
2000-01-20,18.861698,18.861698,18.277822,18.379366,11.869790,588172
2000-01-21,18.480909,18.480909,18.049351,18.150894,11.722230,498309
2000-01-24,18.328594,18.328594,17.668562,17.820877,11.509105,346773
2000-01-25,17.820877,18.150894,17.795490,18.011271,11.632059,231674
2000-01-26,18.150894,18.709383,18.125507,18.683996,12.066516,630518
2000-01-27,18.772846,19.001320,18.582453,18.887083,12.197675,262572
2000-01-28,18.379366,18.582453,18.074736,18.227051,11.771419,170986
2000-01-31,18.023964,18.734768,18.023964,18.734768,12.099310,541763
2000-02-01,18.836311,18.874392,18.557068,18.836311,12.164886,332001
2000-02-02,18.785540,18.810926,18.480909,18.645918,12.041933,399829
2000-02-03,18.633224,18.734768,18.188972,18.531681,11.968152,350220
2000-02-04,18.595146,18.683996,18.227051,18.341288,11.845189,216533
2000-02-07,18.201666,18.303209,18.023964,18.150894,11.722230,91586
2000-02-08,18.379366,18.480909,18.252438,18.353981,11.853391,608483
2000-02-09,18.353981,18.353981,17.795490,17.922421,11.574677,223550
2000-02-10,17.947807,17.947807,17.262388,17.427397,11.254985,641474
2000-02-11,17.668562,17.871649,17.313160,17.465475,11.279575,588664
2000-02-14,17.490862,17.617790,17.122766,17.617790,11.377942,1014713
2000-02-15,17.287773,17.706640,17.160845,17.643175,11.394337,373485
2000-02-16,17.592405,17.668562,17.173538,17.275082,11.156620,376317
2000-02-17,17.567019,17.567019,16.881599,17.059301,11.017262,611807
2000-02-18,16.983145,16.983145,16.297726,16.450041,10.623788,881765
2000-02-22,16.627743,16.729284,16.246954,16.602356,10.722155,564537
2000-02-23,16.653128,16.741978,16.373882,16.538891,10.681169,392443
2000-02-24,16.373882,16.500813,16.018480,16.196182,10.459835,435774
2000-02-25,16.323111,16.627743,15.967709,16.094639,10.394258,608114
2000-02-28,16.500813,16.767365,16.246954,16.615049,10.730351,1225337
2000-02-29,16.818136,16.843521,16.450041,16.729284,10.804129,435159
2000-03-01,16.754671,17.110073,16.653128,16.957758,10.951682,1578634
2000-03-02,16.856215,16.983145,16.564278,16.856215,10.886106,600359
2000-03-03,17.211617,17.211617,16.856215,17.008530,10.984468,418417
2000-03-06,16.919680,17.097380,16.678513,16.843521,10.877905,1878260
2000-03-07,16.653128,16.805443,16.145411,16.335804,10.550010,1253281
2000-03-08,16.069254,16.246954,15.840780,16.145411,10.427051,649229
2000-03-09,15.955016,16.323111,15.891552,16.234261,10.484430,385180
2000-03-10,16.196182,16.450041,16.196182,16.285032,10.517219,183419
2000-03-13,15.815394,16.627743,15.815394,16.450041,10.623788,411646
2000-03-14,16.373882,16.691206,16.348497,16.386576,10.582801,286208
2000-03-15,16.475426,17.465475,16.246954,17.389318,11.230392,1206626
2000-03-16,17.871649,18.887083,17.770105,18.887083,12.197675,2141694
2000-03-17,18.836311,19.242485,18.709383,18.823620,12.201300,1075771
2000-03-20,18.874392,18.887083,18.265129,18.468218,11.970933,422233
2000-03-21,18.265129,19.166328,18.252438,19.140942,12.406986,932359
2000-03-22,19.102863,19.394800,18.988626,19.305950,12.513950,830679
2000-03-23,19.267872,20.105604,19.102863,19.978676,12.950000,724567
2000-03-24,20.232534,20.461006,19.877132,20.207150,13.098093,660185
2000-03-27,20.194456,20.194456,19.394800,19.547115,12.670273,316613
2000-03-28,19.344028,19.927904,19.344028,19.699430,12.768994,371516
2000-03-29,19.902517,19.902517,19.356722,19.547115,12.670273,237091
2000-03-30,19.724817,19.800976,19.420187,19.585196,12.694950,511727
2000-03-31,19.420187,19.851748,19.293259,19.712124,12.777219,1533826
2000-04-03,20.130991,20.664095,20.029448,20.664095,13.394282,539917
2000-04-04,20.714867,20.816408,19.077478,19.839054,12.859493,1568048
2000-04-05,19.750202,20.054832,19.610580,19.686737,12.760769,346403
2000-04-06,19.940598,19.953291,19.712124,19.902517,12.900635,343080
2000-04-07,20.029448,20.029448,19.445574,19.496344,12.637350,783408
2000-04-10,19.547115,20.143684,19.356722,20.054832,12.999361,179111
2000-04-11,20.130991,20.308693,19.775589,20.308693,13.163910,162861
2000-04-12,20.308693,20.956032,20.308693,20.397543,13.221500,1093128
2000-04-13,20.080219,20.232534,19.813667,19.864439,12.875945,790425
2000-04-14,18.937855,19.267872,17.973192,18.252438,11.831065,1045242
2000-04-17,18.683996,18.709383,18.074736,18.404753,11.929794,498309
2000-04-18,18.328594,19.293259,18.328594,19.140942,12.406986,909586
2000-04-19,19.014013,19.166328,18.633224,18.887083,12.242435,218626
2000-04-20,18.899776,19.242485,18.785540,19.242485,12.472806,175048
2000-04-24,19.140942,19.699430,19.039398,19.699430,12.768994,196468
2000-04-25,19.699430,20.384850,19.699430,20.308693,13.163910,252724
2000-04-26,20.296000,20.296000,19.813667,19.902517,12.900635,938761
2000-04-27,19.293259,19.674046,19.153635,19.496344,12.637350,170247
2000-04-28,19.496344,19.902517,18.937855,19.902517,12.900635,436143
2000-05-01,18.988626,19.724817,18.963242,19.458265,12.612672,117068
2000-05-02,19.242485,19.445574,19.204407,19.267872,12.489262,179480
2000-05-03,19.318644,19.483652,18.760155,18.925161,12.267119,425311
2000-05-04,18.785540,18.836311,18.506296,18.633224,12.077888,180834
2000-05-05,18.430138,18.810926,18.404753,18.760155,12.160159,74476
2000-05-08,18.557068,19.140942,18.557068,19.128248,12.398758,49240
2000-05-09,19.242485,19.470959,18.861698,19.077478,12.365847,701424
