Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,23.125000,23.125000,22.468750,22.750000,13.671671,634300
2000-01-04,22.312500,22.656250,22.078125,22.109375,13.286682,172000
2000-01-05,22.265625,22.609375,22.093750,22.500000,13.521429,343600
2000-01-06,22.656250,23.000000,22.484375,22.921875,13.774955,420800
2000-01-07,23.328125,24.421875,23.265625,24.375000,14.648218,337100
2000-01-10,24.125000,24.296875,23.734375,23.828125,14.319571,451700
2000-01-11,23.937500,24.156250,23.765625,23.828125,14.319571,142900
2000-01-12,24.000000,24.187500,23.875000,23.953125,14.394691,84300
2000-01-13,24.093750,24.281250,23.765625,24.078125,14.469807,233800
2000-01-14,24.468750,24.484375,23.875000,24.156250,14.516760,76100
2000-01-18,23.890625,24.046875,23.656250,23.750000,14.272620,218300
2000-01-19,23.859375,24.031250,23.703125,23.921875,14.375911,137800
2000-01-20,24.046875,24.046875,23.390625,23.593750,14.178727,425500
2000-01-21,23.734375,23.734375,23.125000,23.328125,14.019088,345000
2000-01-24,23.515625,23.515625,22.265625,22.656250,13.615329,278200
2000-01-25,22.578125,22.656250,22.328125,22.375000,13.446317,85000
2000-01-26,22.515625,22.781250,22.421875,22.578125,13.568388,385500
2000-01-27,22.578125,23.031250,22.390625,23.000000,13.821904,67800
2000-01-28,22.546875,23.031250,22.546875,22.812500,13.709228,37100
2000-01-31,22.468750,23.234375,22.250000,23.234375,13.962753,195800
2000-02-01,23.046875,23.093750,22.640625,23.000000,13.821904,104000
2000-02-02,23.109375,23.171875,22.843750,23.046875,13.850079,72700
2000-02-03,22.859375,23.031250,22.625000,22.734375,13.662287,87900
2000-02-04,23.109375,23.109375,22.609375,22.718750,13.652889,137500
2000-02-07,22.625000,22.812500,22.531250,22.687500,13.634111,31600
2000-02-08,23.000000,23.156250,22.843750,22.968750,13.803136,314700
2000-02-09,22.984375,23.000000,22.515625,22.765625,13.681062,90900
2000-02-10,22.671875,22.671875,22.000000,22.000000,13.220956,149100
2000-02-11,22.234375,22.234375,21.515625,21.578125,12.967425,166800
2000-02-14,21.640625,21.859375,21.515625,21.687500,13.033155,209200
2000-02-15,21.859375,22.187500,21.656250,22.171875,13.324245,54500
2000-02-16,22.125000,22.140625,21.687500,21.859375,13.136446,315500
2000-02-17,21.875000,22.062500,21.531250,21.531250,12.939259,113700
2000-02-18,21.593750,21.625000,21.062500,21.281250,12.789022,191300
2000-02-22,21.468750,21.718750,21.109375,21.625000,12.995600,266600
2000-02-23,21.625000,21.640625,21.109375,21.156250,12.713902,103200
2000-02-24,21.171875,21.171875,20.453125,20.718750,12.450983,166100
2000-02-25,20.578125,20.796875,20.093750,20.203125,12.141117,258800
2000-02-28,20.453125,20.734375,20.109375,20.593750,12.375864,222000
2000-02-29,20.734375,20.812500,20.500000,20.515625,12.328916,131300
2000-03-01,20.421875,20.625000,20.250000,20.328125,12.216238,295500
2000-03-02,20.171875,20.468750,20.171875,20.375000,12.244408,1447500
2000-03-03,20.437500,20.500000,20.187500,20.265625,12.178679,220900
2000-03-06,20.078125,20.312500,19.781250,19.781250,11.887589,315100
2000-03-07,19.203125,19.203125,18.343750,18.718750,11.249084,224100
2000-03-08,18.937500,19.500000,18.609375,19.296875,11.596502,309900
2000-03-09,19.359375,19.968750,19.250000,19.812500,11.906371,1267300
2000-03-10,19.812500,20.000000,19.437500,19.578125,11.765523,1967700
2000-03-13,19.156250,19.578125,19.125000,19.265625,11.577724,1061900
2000-03-14,19.500000,19.500000,19.000000,19.156250,11.511995,552800
2000-03-15,19.171875,20.468750,19.031250,20.375000,12.244408,1582200
2000-03-16,21.000000,21.625000,20.750000,21.250000,12.770239,580200
2000-03-17,21.625000,21.640625,20.921875,21.093750,12.717032,116000
2000-03-20,21.203125,21.203125,20.656250,20.906250,12.603997,563400
2000-03-21,20.953125,21.296875,20.765625,21.296875,12.839497,32600
2000-03-22,21.046875,21.187500,20.796875,21.125000,12.735877,132900
2000-03-23,21.109375,21.343750,20.843750,20.953125,12.632257,126400
2000-03-24,21.000000,21.156250,20.515625,20.578125,12.406178,231100
2000-03-27,20.781250,20.781250,20.296875,20.312500,12.246035,52200
