Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,28.937500,28.937500,27.218750,27.453125,12.639425,176700
2000-01-04,27.468750,27.468750,26.625000,26.625000,12.258153,93500
2000-01-05,27.218750,27.421875,26.859375,27.296875,12.567480,273400
2000-01-06,27.250000,27.250000,26.937500,27.250000,12.545902,34500
2000-01-07,27.296875,27.484375,27.171875,27.484375,12.653812,46200
2000-01-10,27.468750,27.656250,27.421875,27.578125,12.696968,15500
2000-01-11,27.453125,27.453125,27.078125,27.281250,12.560288,25700
2000-01-12,26.859375,27.218750,26.859375,27.000000,12.430799,36700
2000-01-13,27.250000,27.250000,26.734375,26.750000,12.315708,139600
2000-01-14,26.781250,26.968750,26.656250,26.968750,12.416419,45700
2000-01-18,26.937500,27.281250,26.859375,26.859375,12.366057,46000
2000-01-19,26.781250,27.046875,26.781250,26.875000,12.373251,26000
2000-01-20,26.921875,27.156250,26.859375,27.000000,12.430799,112500
2000-01-21,27.562500,27.906250,27.375000,27.875000,12.833653,201100
2000-01-24,27.937500,27.937500,27.500000,27.500000,12.661002,64300
2000-01-25,27.156250,27.468750,26.625000,26.859375,12.366057,56900
2000-01-26,26.796875,26.953125,26.656250,26.734375,12.308512,31400
2000-01-27,26.812500,26.937500,26.562500,26.562500,12.229377,18700
2000-01-28,26.531250,26.625000,26.234375,26.421875,12.164635,28400
2000-01-31,26.265625,27.640625,26.234375,27.640625,12.725742,414800
2000-02-01,27.593750,27.593750,27.312500,27.437500,12.632231,23200
2000-02-02,27.500000,27.546875,27.296875,27.296875,12.567480,14500
2000-02-03,27.328125,27.609375,27.187500,27.250000,12.545902,96100
2000-02-04,27.500000,27.500000,27.109375,27.109375,12.481158,19300
2000-02-07,26.984375,27.125000,26.906250,27.031250,12.445188,23000
2000-02-08,27.359375,27.500000,27.093750,27.093750,12.473969,32600
2000-02-09,27.156250,27.250000,26.968750,27.093750,12.473969,16300
2000-02-10,26.781250,27.046875,26.687500,26.703125,12.294127,83200
2000-02-11,26.718750,26.718750,26.109375,26.234375,12.078304,92500
2000-02-14,26.234375,26.421875,26.125000,26.265625,12.092690,11600
2000-02-15,26.218750,26.312500,26.093750,26.203125,12.063921,26100
2000-02-16,26.140625,26.265625,25.953125,26.093750,12.013567,154000
2000-02-17,26.078125,26.078125,25.875000,25.937500,11.941633,10700
2000-02-18,25.687500,25.687500,24.968750,24.984375,11.502811,14900
2000-02-22,25.062500,25.078125,24.765625,24.890625,11.459643,32000
2000-02-23,24.937500,24.937500,24.265625,24.375000,11.222254,51900
2000-02-24,24.546875,25.500000,23.375000,23.562500,10.848178,104700
2000-02-25,23.640625,23.937500,23.437500,23.437500,10.790628,7400
2000-02-28,23.515625,24.328125,23.375000,24.109375,11.099962,195500
2000-02-29,24.140625,24.312500,24.031250,24.281250,11.179093,9100
2000-03-01,25.156250,25.421875,25.140625,25.343750,11.668263,46100
2000-03-02,25.593750,26.125000,25.593750,26.000000,11.970398,105600
2000-03-03,26.515625,26.609375,26.234375,26.234375,12.078304,45600
2000-03-06,25.906250,25.906250,25.500000,25.500000,11.740200,79200
2000-03-07,25.906250,26.046875,25.046875,25.203125,11.603515,81900
2000-03-08,24.921875,25.921875,24.921875,25.375000,11.682653,24900
2000-03-09,25.140625,25.671875,25.140625,25.578125,11.776173,156700
2000-03-10,25.546875,25.859375,25.375000,25.578125,11.776173,22600
2000-03-13,25.156250,25.750000,25.156250,25.656250,11.812142,186200
2000-03-14,25.421875,25.625000,25.250000,25.484375,11.733009,170000
2000-03-15,25.250000,25.953125,25.218750,25.625000,11.797755,213500
2000-03-16,26.093750,27.093750,26.046875,26.625000,12.258153,53000
2000-03-17,26.656250,27.093750,26.562500,26.640625,12.356778,62800
2000-03-20,26.750000,26.812500,26.375000,26.531250,12.306046,61300
2000-03-21,26.312500,26.593750,26.203125,26.359375,12.226317,89700
2000-03-22,26.125000,26.312500,25.656250,25.750000,11.943673,48500
2000-03-23,25.937500,26.281250,25.703125,26.187500,12.146599,7100
2000-03-24,26.390625,26.390625,25.875000,25.937500,12.030647,24300
2000-03-27,26.093750,26.343750,26.093750,26.296875,12.197333,33000
2000-03-28,26.343750,26.359375,26.078125,26.171875,12.139357,17600
2000-03-29,26.500000,26.796875,26.375000,26.640625,12.356778,12900
2000-03-30,26.625000,26.859375,26.546875,26.578125,12.327785,33600
2000-03-31,26.781250,26.812500,26.343750,26.734375,12.400264,59400
2000-04-03,26.640625,26.968750,26.421875,26.906250,12.479980,80900
2000-04-04,27.546875,28.062500,27.031250,27.281250,12.653915,64500
2000-04-05,27.937500,28.140625,27.640625,27.640625,12.820604,11000
