Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,31.000000,31.000000,29.859375,30.125000,23.158699,212900
2000-01-04,29.687500,29.812500,29.031250,29.218750,22.462025,177200
2000-01-05,29.343750,29.343750,28.718750,28.859375,22.185743,124600
2000-01-06,29.046875,29.406250,29.000000,29.187500,22.438004,135800
2000-01-07,29.500000,30.562500,29.500000,30.562500,23.495029,70000
2000-01-10,30.531250,30.593750,30.156250,30.406250,23.374905,41900
2000-01-11,30.500000,30.625000,30.093750,30.234375,23.242785,29600
2000-01-12,30.312500,30.312500,29.937500,30.062500,23.110655,53100
2000-01-13,30.218750,30.312500,29.953125,30.218750,23.230776,70600
2000-01-14,30.250000,30.328125,30.140625,30.140625,23.170719,102600
2000-01-18,30.000000,30.125000,29.656250,29.968750,23.038578,53800
2000-01-19,29.953125,30.265625,29.906250,29.906250,22.990543,113800
2000-01-20,30.062500,30.062500,29.343750,29.500000,22.678232,161400
2000-01-21,29.531250,29.531250,28.890625,28.890625,22.209776,170200
2000-01-24,29.093750,29.125000,27.812500,27.812500,21.380953,5100
2000-01-25,27.906250,28.062500,27.625000,27.984375,21.513090,63000
2000-01-26,27.718750,28.203125,27.718750,28.187500,21.669247,38100
2000-01-27,28.406250,28.406250,27.656250,28.109375,21.609184,119100
2000-01-28,27.656250,27.765625,26.906250,27.000000,20.756351,12400
2000-01-31,26.875000,27.203125,26.875000,27.203125,20.912497,10800
2000-02-01,27.437500,28.187500,27.437500,28.187500,21.669247,129900
2000-02-02,28.250000,28.281250,28.000000,28.000000,21.525101,5300
2000-02-03,28.281250,28.281250,28.031250,28.109375,21.609184,26200
2000-02-04,28.359375,28.359375,28.000000,28.062500,21.573147,23100
2000-02-07,27.875000,27.875000,27.468750,27.468750,21.116707,20800
2000-02-08,27.687500,28.265625,27.687500,28.093750,21.597162,205700
2000-02-09,28.187500,28.187500,27.578125,27.625000,21.236813,28600
2000-02-10,27.671875,27.671875,27.281250,27.375000,21.044630,10100
2000-02-11,27.546875,27.546875,26.765625,26.984375,20.744331,33000
2000-02-14,26.968750,27.312500,26.968750,27.125000,20.852440,2800
2000-02-15,27.156250,27.187500,26.750000,27.187500,20.900486,7900
2000-02-16,27.000000,27.000000,26.125000,26.125000,20.083687,18000
2000-02-17,26.312500,26.312500,25.250000,25.375000,19.507120,67000
2000-02-18,25.234375,25.328125,24.828125,25.000000,19.218842,7500
2000-02-22,25.343750,25.375000,24.781250,25.062500,19.266888,70700
2000-02-23,25.312500,25.312500,24.843750,24.984375,19.206829,343000
2000-02-24,24.781250,24.781250,23.890625,24.187500,18.594231,108900
2000-02-25,24.187500,24.656250,24.187500,24.281250,18.666298,31300
2000-02-28,24.687500,25.218750,24.515625,25.156250,19.338966,259700
2000-02-29,25.437500,25.843750,25.437500,25.687500,19.747360,17600
2000-03-01,25.703125,25.703125,25.187500,25.390625,19.519135,345700
2000-03-02,25.656250,25.687500,25.328125,25.359375,19.495106,208600
2000-03-03,25.750000,26.000000,25.640625,25.828125,19.855465,208000
2000-03-06,25.578125,25.625000,25.000000,25.218750,19.386997,600200
2000-03-07,25.125000,25.125000,24.328125,24.515625,18.846470,6300
2000-03-08,24.093750,24.906250,24.031250,24.812500,19.074694,172200
2000-03-09,24.515625,25.343750,24.281250,25.312500,19.459076,306400
2000-03-10,25.093750,25.296875,24.875000,24.968750,19.194818,440300
2000-03-13,24.234375,24.937500,24.234375,24.765625,19.038664,442900
2000-03-14,24.812500,25.031250,24.609375,24.812500,19.074694,229300
2000-03-15,24.812500,26.500000,24.562500,26.312500,20.227823,721800
2000-03-16,26.843750,28.312500,26.718750,28.250000,21.717295,151400
2000-03-17,28.250000,28.500000,28.062500,28.265625,21.771685,24300
2000-03-20,28.281250,28.281250,27.687500,28.000000,21.567095,81100
2000-03-21,27.937500,28.375000,27.750000,28.312500,21.807798,157200
2000-03-22,28.062500,28.312500,27.750000,28.187500,21.711515,133300
2000-03-23,27.781250,28.390625,27.781250,28.265625,21.771685,9000
2000-03-24,28.500000,28.843750,28.359375,28.359375,21.843899,19600
2000-03-27,28.359375,28.562500,28.218750,28.281250,21.783724,14000
2000-03-28,28.125000,28.687500,28.125000,28.375000,21.855932,20800
2000-03-29,28.625000,29.031250,28.625000,28.937500,22.289204,12300
2000-03-30,29.531250,29.890625,29.375000,29.578125,22.782646,22500
2000-03-31,29.328125,29.703125,29.171875,29.265625,22.541943,374600
2000-04-03,29.656250,30.296875,29.656250,30.140625,23.215914,41000
2000-04-04,30.640625,30.750000,28.593750,29.765625,22.927059,71000
2000-04-05,29.609375,29.937500,29.500000,29.812500,22.963173,12000
2000-04-06,29.656250,30.328125,29.656250,30.125000,23.203875,13600
2000-04-07,30.312500,30.500000,30.125000,30.125000,23.203875,55700
2000-04-10,30.343750,30.859375,30.250000,30.828125,23.745462,15800
2000-04-11,30.515625,31.078125,30.515625,31.046875,23.913956,46100
2000-04-12,31.296875,31.937500,30.984375,30.984375,23.865818,107000
2000-04-13,30.937500,30.937500,30.375000,30.406250,23.420506,37400
2000-04-14,29.375000,29.437500,28.000000,28.000000,21.567095,117600
2000-04-17,28.375000,28.375000,27.375000,28.031250,21.591173,140600
2000-04-18,27.875000,28.718750,27.718750,28.625000,22.048500,52100
2000-04-19,28.406250,28.968750,28.406250,28.843750,22.216991,8400
2000-04-20,28.812500,29.218750,28.812500,29.218750,22.505835,14300
2000-04-24,29.218750,30.062500,29.218750,29.531250,22.746542,12300
2000-04-25,29.718750,30.125000,29.718750,30.062500,23.155743,25600
2000-04-26,29.937500,30.156250,29.937500,30.031250,23.131670,11900
2000-04-27,29.312500,29.406250,29.062500,29.406250,22.650259,3300
2000-04-28,29.187500,29.375000,28.656250,28.656250,22.072573,4300
2000-05-01,28.781250,29.531250,28.781250,29.531250,22.746542,6700
